rank_position,movement,points,competitions_played,competitor_id
1,1,8610,14,sr:competitor:16160
2,1,8520,15,sr:competitor:15568
3,-2,8430,25,sr:competitor:53785
4,0,7280,22,sr:competitor:59131
5,0,7130,23,sr:competitor:108099
6,0,6720,22,sr:competitor:14898
6,0,6720,22,sr:competitor:637970
8,0,5710,16,sr:competitor:74173
9,0,5400,22,sr:competitor:49363
9,0,5400,22,sr:competitor:51836
11,0,4875,20,sr:competitor:36593
12,0,4785,19,sr:competitor:52293
13,0,4770,27,sr:competitor:52065
14,1,4310,27,sr:competitor:95801
15,-1,4190,23,sr:competitor:15310
16,0,3335,32,sr:competitor:47295
17,0,3310,27,sr:competitor:52202
18,1,3300,23,sr:competitor:14835
19,-1,3170,26,sr:competitor:16608
20,0,2920,30,sr:competitor:121182
21,0,2850,30,sr:competitor:127646
22,0,2755,36,sr:competitor:106559
23,0,2720,32,sr:competitor:106349
24,0,2600,33,sr:competitor:78793
25,1,2590,28,sr:competitor:22967
26,4,2585,35,sr:competitor:47966
27,7,2550,40,sr:competitor:231090
28,-1,2455,32,sr:competitor:23899
29,7,2401,31,sr:competitor:111195
30,-2,2392,30,sr:competitor:838776
31,7,2340,30,sr:competitor:76263
32,3,2324,25,sr:competitor:52951
33,-2,2265,29,sr:competitor:112805
34,-5,2260,28,sr:competitor:114831
35,4,2197,28,sr:competitor:393598
36,11,2187,31,sr:competitor:112969
36,11,2187,31,sr:competitor:936355
38,2,2160,24,sr:competitor:38181
39,-2,2080,30,sr:competitor:231188
40,1,2075,30,sr:competitor:206889
41,1,2045,29,sr:competitor:25189
42,-17,2040,28,sr:competitor:70348
43,0,2030,32,sr:competitor:16124
44,8,1970,24,sr:competitor:152900
45,-1,1960,20,sr:competitor:14553
46,8,1950,22,sr:competitor:59324
47,-15,1940,24,sr:competitor:62410
48,-3,1925,31,sr:competitor:15305
49,-3,1920,16,sr:competitor:16151
50,-1,1890,22,sr:competitor:15548
51,-18,1885,27,sr:competitor:66864
52,5,1850,11,sr:competitor:80665
53,-3,1790,30,sr:competitor:16042
54,-3,1784,26,sr:competitor:17038
55,-2,1770,32,sr:competitor:234044
56,-1,1735,35,sr:competitor:234124
57,-1,1730,25,sr:competitor:204781
58,6,1697,17,sr:competitor:44553
59,0,1551,33,sr:competitor:204495
60,0,1490,12,sr:competitor:299130
61,5,1467,34,sr:competitor:280601
62,-1,1440,27,sr:competitor:56629
63,2,1382,27,sr:competitor:1020797
64,-1,1357,33,sr:competitor:256001
65,2,1330,31,sr:competitor:16823
66,2,1315,36,sr:competitor:287215
67,4,1293,32,sr:competitor:52244
68,1,1271,30,sr:competitor:108755
69,-7,1265,26,sr:competitor:81059
70,0,1216,4,sr:competitor:39726
71,15,1205,31,sr:competitor:41475
72,-14,1170,30,sr:competitor:230186
73,1,1168,31,sr:competitor:52263
74,-1,1160,31,sr:competitor:45105
75,1,1151,31,sr:competitor:16573
76,-4,1148,26,sr:competitor:16992
77,0,1137,16,sr:competitor:16409
78,1,1098,26,sr:competitor:243522
79,-4,1065,16,sr:competitor:15307
80,1,1054,36,sr:competitor:49306
81,-1,1041,29,sr:competitor:147104
82,6,1040,38,sr:competitor:422955
83,-1,1038,34,sr:competitor:297448
84,-1,1030,5,sr:competitor:359602
85,-7,1020,24,sr:competitor:104917
86,1,1020,31,sr:competitor:16198
87,-3,1017,35,sr:competitor:973963
88,-3,1017,35,sr:competitor:263865
89,2,1012,33,sr:competitor:15588
90,-1,1002,8,sr:competitor:90798
91,-1,975,14,sr:competitor:871495
92,0,965,8,sr:competitor:104847
93,6,938,28,sr:competitor:548169
94,2,938,35,sr:competitor:48646
95,-1,930,36,sr:competitor:614090
96,-3,905,36,sr:competitor:121032
97,10,886,33,sr:competitor:209202
98,3,862,36,sr:competitor:180104
99,-4,860,37,sr:competitor:240880
100,0,841,33,sr:competitor:295508
101,-3,826,32,sr:competitor:450383
102,4,824,29,sr:competitor:99377
103,0,801,31,sr:competitor:110707
104,0,791,33,sr:competitor:95923
105,0,791,35,sr:competitor:163538
106,-9,790,8,sr:competitor:808628
107,2,786,28,sr:competitor:628034
108,2,781,37,sr:competitor:37637
109,-1,780,8,sr:competitor:63606
110,2,744,33,sr:competitor:272245
111,3,729,35,sr:competitor:297502
112,5,728,32,sr:competitor:296270
113,12,724,25,sr:competitor:918463
114,1,720,9,sr:competitor:90080
115,4,719,31,sr:competitor:90110
116,0,717,31,sr:competitor:111607
117,-6,716,33,sr:competitor:113889
118,10,713,30,sr:competitor:1015089
119,-6,705,37,sr:competitor:92845
120,-2,704,38,sr:competitor:731833
121,0,696,31,sr:competitor:157396
122,4,688,32,sr:competitor:233144
123,0,686,38,sr:competitor:210736
124,3,684,32,sr:competitor:59700
125,-23,682,31,sr:competitor:98413
126,-2,680,12,sr:competitor:57163
127,-7,677,30,sr:competitor:145936
128,6,674,26,sr:competitor:73572
129,-7,664,31,sr:competitor:53759
130,-1,654,34,sr:competitor:161220
131,-1,653,30,sr:competitor:25458
132,-1,650,14,sr:competitor:300540
133,-1,649,35,sr:competitor:310972
134,-1,645,21,sr:competitor:405969
135,0,639,37,sr:competitor:98981
136,0,634,38,sr:competitor:126622
137,0,630,8,sr:competitor:106755
138,1,624,32,sr:competitor:124708
139,1,620,4,sr:competitor:158912
140,3,616,34,sr:competitor:54609
141,1,612,32,sr:competitor:55989
142,-4,609,26,sr:competitor:42151
143,10,609,27,sr:competitor:76361
144,3,592,27,sr:competitor:380004
145,3,590,35,sr:competitor:322589
146,3,583,19,sr:competitor:809324
147,-3,580,35,sr:competitor:880089
148,2,573,27,sr:competitor:628218
149,3,571,34,sr:competitor:55745
150,-5,569,26,sr:competitor:113221
151,3,552,18,sr:competitor:38180
152,3,550,8,sr:competitor:87690
153,3,547,31,sr:competitor:16854
154,-3,542,32,sr:competitor:390480
155,4,536,27,sr:competitor:505542
156,6,530,27,sr:competitor:145008
157,3,519,14,sr:competitor:168420
158,3,516,33,sr:competitor:272273
159,-18,508,33,sr:competitor:223868
160,3,504,24,sr:competitor:437794
161,-4,502,36,sr:competitor:77011
162,2,500,3,sr:competitor:863319
163,22,497,27,sr:competitor:185434
164,2,495,11,sr:competitor:169496
165,-7,492,35,sr:competitor:77653
166,1,489,16,sr:competitor:210592
167,5,487,15,sr:competitor:146040
168,2,486,35,sr:competitor:202735
169,-1,483,27,sr:competitor:220590
170,-1,481,32,sr:competitor:79223
171,3,472,31,sr:competitor:85877
172,-1,472,34,sr:competitor:161448
173,-27,459,33,sr:competitor:25021
174,-9,458,34,sr:competitor:739643
175,0,456,38,sr:competitor:60614
176,1,450,6,sr:competitor:339377
177,1,446,24,sr:competitor:103625
178,1,446,31,sr:competitor:72420
179,-3,446,36,sr:competitor:58877
180,0,441,28,sr:competitor:44637
181,-8,432,33,sr:competitor:112061
182,2,430,11,sr:competitor:125006
183,3,416,27,sr:competitor:81763
184,3,414,21,sr:competitor:53483
185,-4,410,31,sr:competitor:208123
186,2,405,9,sr:competitor:16275
187,2,405,11,sr:competitor:204117
188,2,404,8,sr:competitor:1128937
189,2,399,19,sr:competitor:927343
190,2,395,31,sr:competitor:853643
191,2,395,35,sr:competitor:52260
192,2,393,22,sr:competitor:660427
193,-10,391,23,sr:competitor:220588
194,3,386,14,sr:competitor:100069
195,1,384,18,sr:competitor:723013
196,14,371,21,sr:competitor:50148
197,3,370,25,sr:competitor:497320
198,3,368,23,sr:competitor:873679
199,3,363,22,sr:competitor:396126
200,19,362,29,sr:competitor:84671
201,6,361,24,sr:competitor:216502
202,2,360,9,sr:competitor:122368
203,57,360,17,sr:competitor:534043
204,-9,359,17,sr:competitor:283759
205,1,354,27,sr:competitor:407791
206,-3,353,29,sr:competitor:193912
207,1,351,22,sr:competitor:628226
208,1,349,34,sr:competitor:163540
209,11,347,27,sr:competitor:96629
210,2,343,20,sr:competitor:82157
211,2,343,23,sr:competitor:292414
212,12,343,24,sr:competitor:48225
213,1,342,14,sr:competitor:43319
214,-16,341,29,sr:competitor:154490
215,12,337,32,sr:competitor:1020369
216,0,336,28,sr:competitor:181384
217,0,335,30,sr:competitor:289021
218,10,331,34,sr:competitor:733153
219,-8,330,20,sr:competitor:132558
220,2,329,35,sr:competitor:395828
221,2,328,18,sr:competitor:305776
222,3,325,5,sr:competitor:938667
223,3,325,29,sr:competitor:106395
224,9,324,20,sr:competitor:348308
225,-10,323,23,sr:competitor:219398
226,3,320,8,sr:competitor:405977
227,8,318,35,sr:competitor:1025093
228,2,317,24,sr:competitor:154570
229,2,316,22,sr:competitor:221556
230,-48,312,19,sr:competitor:250231
231,1,311,29,sr:competitor:95939
232,2,308,22,sr:competitor:518742
233,36,307,18,sr:competitor:63446
234,-13,305,29,sr:competitor:60920
235,17,302,34,sr:competitor:761136
236,0,299,22,sr:competitor:111609
237,0,294,26,sr:competitor:210636
238,0,290,10,sr:competitor:763106
239,0,290,19,sr:competitor:682903
240,0,286,9,sr:competitor:565070
241,0,285,26,sr:competitor:381022
242,1,284,29,sr:competitor:452787
243,1,283,9,sr:competitor:49417
244,1,282,19,sr:competitor:564952
245,1,282,27,sr:competitor:207777
246,16,282,29,sr:competitor:418253
247,26,281,33,sr:competitor:170976
248,-1,278,18,sr:competitor:434058
249,0,277,7,sr:competitor:515510
250,0,276,15,sr:competitor:229024
251,-3,275,33,sr:competitor:645442
252,1,273,26,sr:competitor:301896
253,1,271,15,sr:competitor:116616
254,1,270,3,sr:competitor:195800
255,1,270,3,sr:competitor:95935
256,1,270,4,sr:competitor:407783
257,1,270,4,sr:competitor:94485
258,1,270,8,sr:competitor:255595
259,8,270,29,sr:competitor:182086
260,-18,269,30,sr:competitor:412829
261,2,262,20,sr:competitor:222628
262,2,261,11,sr:competitor:228372
263,2,260,15,sr:competitor:195458
264,11,259,19,sr:competitor:163438
265,-47,258,12,sr:competitor:263917
266,30,258,12,sr:competitor:66086
267,1,257,7,sr:competitor:371448
268,2,256,25,sr:competitor:55293
269,2,256,27,sr:competitor:58989
270,2,254,12,sr:competitor:722431
271,-10,254,35,sr:competitor:246745
272,8,252,23,sr:competitor:685379
273,1,250,9,sr:competitor:145112
274,10,249,29,sr:competitor:319353
275,3,245,15,sr:competitor:303862
276,3,245,17,sr:competitor:82133
277,5,244,23,sr:competitor:378220
278,5,240,17,sr:competitor:312440
279,6,239,37,sr:competitor:439474
280,6,238,14,sr:competitor:686911
281,6,238,20,sr:competitor:353586
282,6,237,13,sr:competitor:43761
283,6,237,20,sr:competitor:305558
284,27,235,28,sr:competitor:77501
285,6,235,30,sr:competitor:458575
286,-5,235,32,sr:competitor:447733
287,5,234,23,sr:competitor:389078
288,5,233,15,sr:competitor:457059
289,12,232,27,sr:competitor:24009
290,15,230,20,sr:competitor:177658
291,3,229,6,sr:competitor:321667
292,3,229,15,sr:competitor:18066
293,30,228,16,sr:competitor:287541
294,12,228,18,sr:competitor:588081
295,29,228,20,sr:competitor:82579
296,17,228,25,sr:competitor:395890
297,-21,228,36,sr:competitor:99043
298,1,225,9,sr:competitor:47834
299,19,224,13,sr:competitor:603420
300,-23,223,16,sr:competitor:115239
301,2,223,24,sr:competitor:768772
302,2,223,27,sr:competitor:202681
303,6,222,20,sr:competitor:538457
304,3,221,29,sr:competitor:170964
305,3,216,15,sr:competitor:369572
306,4,214,22,sr:competitor:141882
307,5,213,31,sr:competitor:200873
308,6,211,6,sr:competitor:212004
309,-19,211,23,sr:competitor:273883
310,5,211,25,sr:competitor:407785
311,-45,210,17,sr:competitor:287543
312,-10,209,18,sr:competitor:312728
313,4,209,21,sr:competitor:244388
314,13,208,16,sr:competitor:84659
315,4,208,20,sr:competitor:494844
316,4,206,15,sr:competitor:353548
317,4,206,20,sr:competitor:92667
318,-119,205,6,sr:competitor:126356
319,3,205,8,sr:competitor:266711
320,-4,203,17,sr:competitor:268441
321,19,203,31,sr:competitor:906831
322,3,202,16,sr:competitor:861461
323,3,202,26,sr:competitor:750283
324,185,200,10,sr:competitor:530317
325,-25,200,11,sr:competitor:682913
326,3,200,34,sr:competitor:217192
327,3,199,19,sr:competitor:686709
328,3,199,25,sr:competitor:83263
329,3,198,18,sr:competitor:605854
330,3,197,10,sr:competitor:240264
331,8,197,27,sr:competitor:1080832
332,2,196,20,sr:competitor:215778
333,2,195,10,sr:competitor:387066
334,2,194,21,sr:competitor:342822
335,3,190,24,sr:competitor:441576
336,5,189,12,sr:competitor:1011445
337,56,189,19,sr:competitor:284835
338,-1,189,21,sr:competitor:322801
339,5,186,25,sr:competitor:318187
340,6,185,14,sr:competitor:104421
341,7,183,16,sr:competitor:223788
342,7,182,8,sr:competitor:51345
343,7,182,18,sr:competitor:822192
344,24,181,31,sr:competitor:48055
345,6,180,1,sr:competitor:671637
346,6,180,1,sr:competitor:972327
347,6,180,2,sr:competitor:175014
348,6,180,2,sr:competitor:117916
349,6,180,2,sr:competitor:136042
350,6,180,3,sr:competitor:675175
351,6,180,4,sr:competitor:63438
351,6,180,4,sr:competitor:128552
353,6,180,5,sr:competitor:102339
354,6,180,5,sr:competitor:472975
